Date,Category,Description,Payment Mode,Amount,Month,Year
01-Jan-26,Food,Lunch,UPI,? 200,Jan,2026
02-Jan-26,Travel,Bus Ticket,Cash,? 50,Jan,2026
03-Jan-26,Shopping,Clothes,Card,"? 1,500",Jan,2026
04-Jan-26,Food,Dinner,UPI,? 300,Jan,2026
05-Jan-26,Entertainment,Movie,Card,? 500,Jan,2026
06-Jan-26,Bills,Electricity Bill,UPI,"? 1,200",Jan,2026
07-Jan-26,Food,Breakfast,Cash,? 100,Jan,2026
08-Jan-26,Travel,Auto Fare,Cash,? 80,Jan,2026
09-Jan-26,Shopping,Shoes,Card,"? 2,500",Jan,2026
10-Jan-26,Bills,Internet Bill,UPI,? 700,Jan,2026
11-Jan-26,Entertainment,Netflix,UPI,? 199,Jan,2026
12-Jan-26,Food,Snacks,Cash,? 150,Jan,2026
13-Jan-26,Health,Medicines,UPI,? 600,Jan,2026
14-Jan-26,Education,Books,Card,? 900,Jan,2026
15-Jan-26,Travel,Train Ticket,UPI,? 450,Jan,2026
02-Feb-26,Food,Pizza,UPI,? 400,Feb,2026
04-Feb-26,Travel,Cab Fare,Cash,? 180,Feb,2026
06-Feb-26,Shopping,Handbag,Card,"? 1,800",Feb,2026
09-Feb-26,Bills,Water Bill,UPI,? 500,Feb,2026
12-Feb-26,Entertainment,Concert Ticket,Card,"? 1,200",Feb,2026
15-Feb-26,Health,Doctor Visit,Cash,? 800,Feb,2026
18-Feb-26,Food,Dinner,UPI,? 350,Feb,2026
22-Feb-26,Education,Stationery,Card,? 450,Feb,2026
25-Feb-26,Travel,Bus Ticket,Cash,? 60,Feb,2026
28-Feb-26,Bills,Gas Bill,UPI,? 900,Feb,2026
02-Mar-26,Food,Restaurant,Card,? 650,Mar,2026
05-Mar-26,Shopping,Shoes,Card,"? 2,200",Mar,2026
08-Mar-26,Education,Online Course,UPI,"? 2,500",Mar,2026
11-Mar-26,Entertainment,OTT Subscription,UPI,? 299,Mar,2026
14-Mar-26,Travel,Train Ticket,UPI,? 700,Mar,2026
17-Mar-26,Health,Medicines,Cash,? 550,Mar,2026
20-Mar-26,Food,Snacks,Cash,? 120,Mar,2026
23-Mar-26,Bills,Electricity Bill,UPI,"? 1,300",Mar,2026
26-Mar-26,Shopping,Accessories,Card,? 900,Mar,2026
29-Mar-26,Travel,Auto Fare,Cash,? 100,Mar,2026
01-Apr-26,Food,Lunch,UPI,? 250,Apr,2026
04-Apr-26,Bills,Mobile Recharge,UPI,? 300,Apr,2026
07-Apr-26,Shopping,T-Shirt,Card,? 850,Apr,2026
10-Apr-26,Education,Books,Card,"? 1,100",Apr,2026
13-Apr-26,Entertainment,Movie,Cash,? 400,Apr,2026
16-Apr-26,Travel,Metro Card Recharge,UPI,? 300,Apr,2026
19-Apr-26,Health,Vitamins,UPI,? 450,Apr,2026
22-Apr-26,Food,Dinner,Card,? 500,Apr,2026
25-Apr-26,Bills,Internet Bill,UPI,? 700,Apr,2026
28-Apr-26,Shopping,Earphones,Card,"? 1,500",Apr,2026
